key,rover_result,region,link,time_stamp,duration,link_type,video_id,cache_key,full_audio_path
gd0046218_579010_581320,点解你上最后堂课啊,广东,https://www.bilibili.com/video/BV18p4y1B7Az/?spm_id_from=333.999.0.0,579.010_581.320,2.56,bilibili,BV18p4y1B7Az,BV18p4y1B7Az,success/BV18p4y1B7Az.mp3
gd0047660_213210_218460,系唔会勉强你做啲唔愿意做嘅事嘅妈咪,广东,https://www.bilibili.com/video/BV1yf4y1e7bj?p=9,213.210_218.460,5.504,bilibili,BV1yf4y1e7bj,BV1yf4y1e7bj_p9,success/BV1yf4y1e7bj_p9.mp3
gd0038204_224350_227080,你如今嘅神态真系好大,广东,https://www.bilibili.com/video/BV13x411X7BC?p=354,224.350_227.080,3.072,bilibili,BV13x411X7BC,BV13x411X7BC_p354,success/BV13x411X7BC_p354.mp3
gd0040508_1132410_1135870,咁其实如果冇名指一个人讲你岳阳呢,广东,https://www.bilibili.com/video/BV1kW411a7AR?p=56,1132.410_1135.870,3.712,bilibili,BV1kW411a7AR,BV1kW411a7AR_p56,success/BV1kW411a7AR_p56.mp3
xg0011561_317530_322030,啊紫薇啦风水面掌上呢啲气息,香港,https://space.bilibili.com/701335555?spm_id_from=333.337.search-card.all.click,317.530_322.030,4.736,bilibili,89b85f7d7158e810,89b85f7d7158e810,success/89b85f7d7158e810.mp3
gd0037436_83440_85810,我需要你嘅帮助,广东,https://www.bilibili.com/video/BV1Yx411R7XM?p=226,83.440_85.810,2.688,bilibili,BV1Yx411R7XM,BV1Yx411R7XM_p226,success/BV1Yx411R7XM_p226.mp3
gd0040277_17800_20460,喺遇难子之前系一个月左右,广东,https://www.bilibili.com/video/BV1Xg4y1F7pp?p=39,17.800_20.460,2.816,bilibili,BV1Xg4y1F7pp,BV1Xg4y1F7pp_p39,success/BV1Xg4y1F7pp_p39.mp3
gd0037850_86560_91130,电视咧系由我入咗嚟安道以国境日开始嘅,广东,https://www.bilibili.com/video/BV1Yx411R7XM?p=113,86.560_91.130,4.736,bilibili,BV1Yx411R7XM,BV1Yx411R7XM_p113,success/BV1Yx411R7XM_p113.mp3
gd0040508_507680_511800,唉咁就唔怪得风掌路都会伤喺小怪嘅掌下啦,广东,https://www.bilibili.com/video/BV1kW411a7AR?p=56,507.680_511.800,4.352,bilibili,BV1kW411a7AR,BV1kW411a7AR_p56,success/BV1kW411a7AR_p56.mp3
xg0011556_850960_880960,两方面嘅诶每一代咧都一齐咁愉快下咁诶都咁开开心心发展好香港珠海同埋我哋国家咁即系会系同你嘅政治工作购埋咗你先妹斋系支咪唱纯粹娱乐嘅 SHOW 你会唔会啊我系开演唱会咁嗯咁个时间我就冇咁多时间准备嘅屋企有时会唱下咯即系你讲大型演出我就冇嘅但系因为话边个歌星开演唱会一定要你做加班咁出啲就有啲,香港,https://space.bilibili.com/701335555?spm_id_from=333.337.search-card.all.click,850.960_880.960,30.208,bilibili,89b85f7d7158e810,89b85f7d7158e810,success/89b85f7d7158e810.mp3
gd0037436_679010_683030,我哋喺度等待紧个辐射环嘅消失,广东,https://www.bilibili.com/video/BV1Yx411R7XM?p=226,679.010_683.030,4.352,bilibili,BV1Yx411R7XM,BV1Yx411R7XM_p226,success/BV1Yx411R7XM_p226.mp3
xg0011564_675330_689370,诶即系张言烧我谂都屹立咗好多年咁阵时咧即系诶香港唔系咁多张言烧啦咁就觉得哇你惊为篇人点解呢样嘢可以咁好食嘅咧咁佢又会加少少华沙 BI 啊咁嘅 OK K,香港,https://space.bilibili.com/701335555?spm_id_from=333.337.search-card.all.click,675.330_689.370,14.208,bilibili,89b85f7d7158e810,89b85f7d7158e810,success/89b85f7d7158e810.mp3
gd0037850_220940_226770,嗱当佢部车好似飞咁揸过咗大公古堡嘅空地,广东,https://www.bilibili.com/video/BV1Yx411R7XM?p=113,220.940_226.770,6.016,bilibili,BV1Yx411R7XM,BV1Yx411R7XM_p113,success/BV1Yx411R7XM_p113.mp3
gd0047660_358220_364070,呢排啊你成日魂不守舍咁又故意避开阿坚,广东,https://www.bilibili.com/video/BV1yf4y1e7bj?p=9,358.220_364.070,6.144,bilibili,BV1yf4y1e7bj,BV1yf4y1e7bj_p9,success/BV1yf4y1e7bj_p9.mp3
gd0047660_563340_568270,你何必擂佢头埋去我问你啊系咪佢亲口同你讲噶诶,广东,https://www.bilibili.com/video/BV1yf4y1e7bj?p=9,563.340_568.270,5.12,bilibili,BV1yf4y1e7bj,BV1yf4y1e7bj_p9,success/BV1yf4y1e7bj_p9.mp3
gd0037436_609130_624700,试谂下如果唔系喺遥远嘅太空突然间有两颗小行星相撞形成巨大嘅辐射环阻止到一班牛头人嘅移民咁我哋嘅地球人而家会系咩样嘅咧,广东,https://www.bilibili.com/video/BV1Yx411R7XM?p=226,609.130_624.700,15.872,bilibili,BV1Yx411R7XM,BV1Yx411R7XM_p226,success/BV1Yx411R7XM_p226.mp3
